month,year,country,values,clouds,wind_direction,speed,wind_speed
April,2006,Zambia,60000,6,0,0,0
April,2006,Zambia,40000,4,0,0,0
April,2006,Zambia,11213,1,12,13,6.682
April,2006,Zambia,53302,5,33,2,1.028
April,2006,Zambia,50905,5,9,5,2.57
April,2006,Zambia,30905,3,9,5,2.57
April,2006,Zambia,81362,8,13,62,31.868
April,2006,Zambia,51201,5,12,1,0.514
April,2006,Zambia,20902,2,9,2,1.028
April,2006,Zambia,10901,1,9,1,0.514
April,2006,Zambia,20906,2,9,6,3.084
April,2006,Zambia,82619,8,26,19,9.766
April,2006,Zambia,20904,2,9,4,2.056
April,2006,Zambia,20902,2,9,2,1.028
April,2006,Zambia,70000,7,0,0,0
April,2006,Zambia,61203,6,12,3,1.542
April,2006,Zambia,82618,8,26,18,9.252
April,2006,Zambia,71403,7,14,3,1.542
April,2006,Zambia,83618,8,36,18,9.252
April,2006,Zambia,51303,5,13,3,1.542
April,2006,Zambia,83606,8,36,6,3.084
April,2006,Zambia,70906,7,9,6,3.084
April,2006,Zambia,31012,3,10,12,6.168
April,2006,Zambia,82620,8,26,20,10.28
April,2006,Zambia,11008,1,10,8,4.112
April,2006,Zambia,70603,7,6,3,1.542
April,2006,Zambia,30907,3,9,7,3.598
April,2006,Zambia,81106,8,11,6,3.084
April,2006,Zambia,71007,7,10,7,3.598
April,2006,Zambia,11005,1,10,5,2.57
April,2006,Zambia,10908,1,9,8,4.112
April,2006,Zambia,41104,4,11,4,2.056
April,2006,Zambia,21106,2,11,6,3.084
April,2006,Zambia,71005,7,10,5,2.57
April,2006,Zambia,51206,5,12,6,3.084
April,2006,Zambia,71003,7,10,3,1.542
April,2006,Zambia,60906,6,9,6,3.084
April,2006,Zambia,81363,8,13,63,32.382
April,2006,Zambia,71306,7,13,6,3.084
April,2006,Zambia,70905,7,9,5,2.57
April,2006,Zambia,51103,5,11,3,1.542
April,2006,Zambia,61506,6,15,6,3.084
April,2006,Zambia,71008,7,10,8,4.112
April,2006,Zambia,71209,7,12,9,4.626
