date,symbol,adjusted
2010-11-18,GM,26.365042
2010-11-19,GM,26.41902
2010-11-22,GM,26.28022
2010-11-23,GM,25.640175
2010-11-24,GM,25.817539
2010-11-26,GM,26.064302
2010-11-29,GM,26.064302
2010-11-30,GM,26.372759
2010-12-01,GM,26.820011
2010-12-02,GM,26.742903
2010-12-03,GM,26.642654
2010-12-06,GM,26.588675
2010-12-07,GM,26.742903
2010-12-08,GM,26.565538
2010-12-09,GM,26.018034
2010-12-10,GM,26.072018
2010-12-13,GM,26.064302
2010-12-14,GM,26.133699
2010-12-15,GM,25.917793
2010-12-16,GM,25.917793
2010-12-17,GM,26.218527
2010-12-20,GM,26.033451
2010-12-21,GM,26.102858
2010-12-22,GM,26.927965
2010-12-23,GM,26.843151
2010-12-27,GM,26.681211
2010-12-28,GM,27.236423
2010-12-29,GM,27.776213
2010-12-30,GM,28.39312
2010-12-31,GM,28.423964
2011-01-03,GM,28.578194
2011-01-04,GM,29.225952
2011-01-05,GM,29.357042
2011-01-06,GM,29.997086
2011-01-07,GM,30.058765
2011-01-10,GM,29.7349
2011-01-11,GM,29.881411
2011-01-12,GM,29.781158
2011-01-13,GM,29.511261
2011-01-14,GM,29.457293
2011-01-18,GM,29.326191
2011-01-19,GM,28.84038
2011-01-20,GM,28.670732
2011-01-21,GM,28.716997
2011-01-24,GM,29.025444
2011-01-25,GM,29.611509
2011-01-26,GM,29.218237
2011-01-27,GM,29.819723
2011-01-28,GM,28.223476
2011-01-31,GM,28.138651
2011-02-01,GM,28.107796
2011-02-02,GM,27.514032
2011-02-03,GM,27.807055
2011-02-04,GM,28.215763
2011-02-07,GM,28.300585
2011-02-08,GM,28.447107
2011-02-09,GM,28.076958
2011-02-10,GM,27.668261
2011-02-11,GM,28.107796
2011-02-14,GM,27.984413
2011-02-15,GM,27.845613
2011-02-16,GM,28.339151
2011-02-17,GM,28.046116
2011-02-18,GM,28.154072
2011-02-22,GM,27.583433
2011-02-23,GM,26.673502
2011-02-24,GM,25.462822
2011-02-25,GM,25.640175
2011-02-28,GM,25.856092
2011-03-01,GM,25.408836
2011-03-02,GM,25.354856
2011-03-03,GM,25.470528
2011-03-04,GM,24.977001
2011-03-07,GM,24.444923
2011-03-08,GM,25.231476
2011-03-09,GM,24.869043
2011-03-10,GM,24.229002
2011-03-11,GM,24.62228
2011-03-14,GM,24.360094
2011-03-15,GM,24.946159
2011-03-16,GM,24.506617
2011-03-17,GM,24.244429
2011-03-18,GM,24.560591
2011-03-21,GM,24.121044
2011-03-22,GM,23.704634
2011-03-23,GM,24.028511
2011-03-24,GM,24.205866
2011-03-25,GM,24.267555
2011-03-28,GM,23.789459
2011-03-29,GM,23.982239
2011-03-30,GM,24.329248
2011-03-31,GM,23.928261
2011-04-01,GM,24.992424
2011-04-04,GM,24.977001
2011-04-05,GM,25.347143
2011-04-06,GM,25.347143
2011-04-07,GM,24.915316
2011-04-08,GM,24.306114
2011-04-11,GM,23.727766
2011-04-12,GM,24.020796
2011-04-13,GM,23.797171
2011-04-14,GM,23.581253
2011-04-15,GM,23.319071
2011-04-18,GM,23.110859
2011-04-19,GM,22.817829
2011-04-20,GM,23.080017
2011-04-21,GM,23.866568
2011-04-25,GM,24.013086
2011-04-26,GM,24.113337
2011-04-27,GM,24.506617
2011-04-28,GM,24.606861
2011-04-29,GM,24.745661
2011-05-02,GM,24.815062
2011-05-03,GM,25.43969
2011-05-04,GM,25.478239
2011-05-05,GM,24.691685
2011-05-06,GM,24.606861
2011-05-09,GM,24.205866
2011-05-10,GM,24.375515
2011-05-11,GM,24.136467
2011-05-12,GM,24.229002
2011-05-13,GM,23.959103
2011-05-16,GM,23.982239
2011-05-17,GM,23.982239
2011-05-18,GM,24.306114
2011-05-19,GM,24.267555
2011-05-20,GM,24.04393
2011-05-23,GM,23.874281
2011-05-24,GM,23.774033
2011-05-25,GM,24.113337
2011-05-26,GM,23.658365
2011-05-27,GM,24.121044
2011-05-31,GM,24.529749
