School,Mean Grade,County
Kapsabet Boys,10.53,Nandi
Kenya High School,10.3,Nairobi
Mang'u School,10.28,Kiambu
Alliance High School,10.18,Kiambu
Light Academy,10.05,Nairobi
Mary Hill Girls,9.89,Kiambu
Murang'a High School,9.86,Murang'a
Alliance Girls ,9.82,Kiambu
Pangani Girls High School,9.82,Nairobi
Maranda,9.76,Kisumu
"Moi Girls, Eldoret",9.68,Uasin Gishu
Friends School Kamusinga,9.61,Bungoma
Moi High School Kabarak,9.59,Nakuru
Maseno School,9.58,Kisumu
Asumbi Girls,9.569,Homa Bay
Kisima Mixed Secondary School,9.55,Nyandarua
Baricho Boys High School,9.48,Kirinyaga
Starehe Boys Centre,9.43,Nairobi
Kagumo High School,9.41,Nyeri
Nairobi School,9.41,Nairobi
Loreto Girls Limuru,9.39,Kiambu
Riokindo High School,9.33,Kisii 
Kiage Tumaini Boys High School,9.318,Kisii 
Moi Tea Girls,9.31,Kericho
St Josephs Chepterit Girls,9.25,Nandi
Agoro Sare High School,9.236,Homa Bay
Bishop Gatimu Ngandu Girls,9.227,Nyeri
Orero High School,9.217,Homa Bay
Light Academy,9.17,Mombasa
St Theresa's Wamba,9.16,Samburu
Kitui School,9.15,Kitui
Kanga High School,9.05,Migori
Meru School,9.03,Meru
Kisii Sschool,9.02,Kisii 
Sheikh Khalifa BinZayed,9.01,Mombasa
Kabianga Boys,8.99,Kericho
Mbita High School,8.974,Homa Bay
Lenana School,8.92,Nairobi
Kapsabet Girls,8.91,Nandi
Kipsigis Girs,8.9,Kericho
Litein High School,8.88,Kericho
Chogoria Girls High School,8.86,Tharaka Nithi
Kebirigo High School,8.81,Nyamira
Oriwo Secondary School,8.783,Homa Bay
Nyambaria High School,8.76,Nyamira
Makueni Boys,8.75,Makueni
Mbooni Girls,8.73,Makueni
Machakos School,8.7,Machakos
Nanyuki School,8.68,Laikipia
Baringo High School,8.65,Baringo
Machakos Boys,8.62,Machakos
"Moi Girls High School, Nairobi",8.6,Nairobi
St Patrick's Iten,8.6,Elgeyo Marakwet
"Moi High School, Mbiruri",8.58,Embu
Mahiga Girls Secondary School,8.55,Nyeri
Moi Siongori Girls,8.543,Bomet
Nkubu High School,8.541,Meru
Chuka Boys,8.54,Tharaka Nithi
Precious Blood Riruta,8.53,Nairobi
St Albert Girls High School,8.53,Migori
Anin Secondary School,8.5,Elgeyo Marakwet
Carmel Girls Schools,8.5,Machakos
Pope Benedict School,8.42,Kisii 
Ogande Girls,8.42,Homa Bay
Edinburgh Boys,8.38,Murang'a
Metkei Girls,8.3,Elgeyo Marakwet
Sacho High School,8.3,Baringo
Kieni Girls High,8.3,Embu
St Francis Girls High School,8.299,Kiambu
Tenwek Boys,8.295,Bomet
St Joseph School Rapogi,8.27,Migori
Tengecha Girls,8.2,Kericho
Tengecha Boys,8.2,Kericho
Ikuu Boys High School,8.2,Tharaka Nithi
Kabarnet Boys High School,8.2,Baringo
Riambese DEB,8.2,Kisii 
Sironga Girls,8.2,Nyamira
Butula Boys High Scholl,8.15,Busia
Nyeri High School,8.13,Nyeri
St Charles Lwanga Ichuni Girls,8.12,Nyamira
AIC Litein Girls,8.12,Kericho
Tambach Boys,8.1,Elgeyo Marakwet
Kenyatta Boys High School,8.09,Taita Taveta
Homa Bay Boys,8.08,Homa Bay
St Charles Lwanga Nyansebakwa,8.07,Nyamira
Kericho High ,8.06,Kericho
Kaplong Girls,8.05,Bomet
Makini School,8.04,Nairobi
Ndururumo High School,8.03,Laikipia
St Peters Nyakeminchwa Sec School,8.02,Nyamira
Qubaa Muslim,7.98,Mombasa
Memon High School,7.9,Mombasa
Kangaru Girls,7.9,Embu
Turkana Girls National School,7.87,Turkana
Kereri Girls,7.85,Kisii 
Nyabururu Girls High School,7.83,Kisii 
Matuga Girls,7.8,Kwale
Siakago Girls,7.8,Embu
Olc Muigori Girls,7.79,Murang'a
Riokindo Girls High School,7.78,Kisii 
Istiqama Academy,7.7,Mombasa
Kwale Boys,7.7,Kwale
Machakos Girls High School,7.7,Machakos
Cardinal Otunga Mosocho,7.69,Kisii 
Dr Aggrey High School,7.64,Taita Taveta
Ng'iya Girls High School,7.58,Siaya
Nyokaibo Secondary,7.5,Kisii 
Shimo La Tewa,7.45,Mombasa
Kapenguria Boys High School,7.45,West Pokot
Murry Girls High School,7.37,Taita Taveta
Bura Girls High School,7.32,Taita Taveta
State House Girls High School,7.316,Nairobi
St Pauls Gekano,6.81,Nyamira
Nyamira Boys High School,6.72,Nyamira
Aquinas High School,6.66,Nairobi
Kinango Secondary,6.2,Kwale
