period,month,year,source,deuda_total,deuda_interna,deuda_externa,Count,bala
2013-03-01,March,2013,Bonos,30937000,,4397100,2,26539900
2012-12-01,December,2012,Bonos,31398900,,5221100,2,26177800
2019-06-01,June,2019,UF,16081765.7,32131.4,,2,16049634.3
2019-12-01,December,2019,UF,15428813.4,30826.8,,2,15397986.6
2010-09-01,September,2010,Unidades  de Fomento,11558900,,,1,11558900
2014-12-01,December,2014,UF,11024113.1,,,1,11024113.1
2014-03-01,March,2014,UF,10645334.7,,,1,10645334.7
2010-12-01,December,2010,Pes os,3047400,,581400,2,2466000
2014-12-01,December,2014,Dólares USA,2394692.3,,4784.6,2,2389907.7
2010-09-01,September,2010,Pes os,2941500,,561200,2,2380300
2010-09-01,September,2010,Pesos,2941500,,561200,2,2380300
2014-12-01,December,2014,Euros,522572.05,,1044.1,2,521527.95
2013-03-01,March,2013,Banco Estado,111600,,,1,111600
2012-12-01,December,2012,Banco Estado,110100,,,1,110100
2015-06-01,June,2015,Dólares USA,38913,,4732.5,2,34180.5
2014-06-01,June,2014,UF,22703.8,,,1,22703.8
2013-09-01,September,2013,UF,22405.1,,,1,22405.1
2013-12-01,December,2013,UF,22075,,,1,22075
2015-12-01,December,2015,UF,21755.2,,,1,21755.2
2015-06-01,June,2015,UF,21268.6,,,1,21268.6
2013-03-01,March,2013,UF,21250.2,,,1,21250.2
2013-06-01,June,2013,UF,21005.3,,,1,21005.3
2012-12-01,December,2012,UF,20955,,,1,20955
2014-09-01,September,2014,UF,20931.9,,,1,20931.9
2015-09-01,September,2015,UF,20870.6,,,1,20870.6
2012-09-01,September,2012,UF,20784.4,,,1,20784.4
2015-03-01,March,2015,UF,20002.2,,,1,20002.2
2012-06-01,June,2012,UF,19056.4,,,1,19056.4
2015-06-01,June,2015,Euros,21268.6,,2502.9,2,18765.7
2012-03-01,March,2012,UF,18759.5,,,1,18759.5
2011-12-01,December,2011,UF,16706.2,,,1,16706.2
2011-06-01,June,2011,UF,16065.1,,,1,16065.1
2011-06-01,June,2011,Unidades de Fomento,16065.1,,,1,16065.1
2016-09-01,September,2016,Otras,20000,,4000,2,16000
2011-09-01,September,2011,UF,15737.6,,,1,15737.6
2011-09-01,September,2011,Unidades de Fomento,15737.6,,,1,15737.6
2011-03-01,March,2011,UF,14471.4,,,1,14471.4
2011-03-01,March,2011,Unidades de Fomento,14471.4,,,1,14471.4
2010-12-01,December,2010,Unidades de Fomento,13796.3,,,1,13796.3
2016-12-01,December,2016,Otras,16000,,3000,2,13000
2017-12-01,December,2017,Otras,14000,,3000,2,11000
2018-03-01,March,2018,Otras,14000,,3000,2,11000
2017-09-01,September,2017,Otras,13000,,3000,2,10000
2016-06-01,June,2016,Otras,11000,,4000,2,7000
2018-06-01,June,2018,Otras,9000,,2000,2,7000
2018-09-01,September,2018,Otras,9000,,2000,2,7000
2018-12-01,December,2018,Otras,9000,,2000,2,7000
2019-03-01,March,2019,Otras,4000,,1000,2,3000
2019-09-01,September,2019,Otras,5000,,2000,2,3000
2020-03-01,March,2020,Otras,4000,,1000,2,3000
2019-06-01,June,2019,Otras,2750,,1100,2,1650
2019-12-01,December,2019,Otras,2200,,550,2,1650
2017-03-01,March,2017,Otras,1300,,300,2,1000
2017-06-01,June,2017,Otras,1300,,300,2,1000
2012-03-01,March,2012,Otras,8000,,7500,2,500
2009-12-01,December,2009,Dólares  USA,2382000,,2382000,2,0
2009-12-01,December,2009,Unidades  de  Fomento,7025400,7025400,,2,0
2009-12-01,December,2009,Unidad de  Cuenta  BID,47200,,47200,2,0
2009-12-01,December,2009,Euros,100000,,100000,2,0
2009-12-01,December,2009,Pesos,1540300,1540300,,2,0
2010-03-01,March,2010,Dólares USA,2358100,,2358100,2,0
2010-03-01,March,2010,Unidades de Fomento,7846900,7846900,,2,0
2010-03-01,March,2010,Unidad de Cuenta BID,44800,0,44800,3,0
2010-03-01,March,2010,Euros,93300,,93300,2,0
2010-03-01,March,2010,Pes os,1838400,1838400,0,3,0
2010-03-01,March,2010,Otras,900,0,900,3,0
2010-03-01,March,2010,Dólares  USA,2358100,,2358100,2,0
2010-03-01,March,2010,Unidades  de  Fomento,7846900,7846900,,2,0
2010-03-01,March,2010,Unidad de  Cuenta  BID,44800,,44800,2,0
2010-03-01,March,2010,Pesos,1838400,1838400,0,3,0
2010-03-01,March,2010,Unidades  de Fomento,7846900,7846900,,2,0
2010-03-01,March,2010,Unidad de Cuenta  BID,44800,,44800,2,0
2010-03-01,March,2010,Otra s,900,,900,2,0
2010-06-01,June,2010,Dólares USA,2354400,,2354400,2,0
2010-06-01,June,2010,Unidades de Fomento,8721300,8721300,,2,0
2010-06-01,June,2010,Unidad de Cuenta BID,44100,0,44100,3,0
2010-06-01,June,2010,Euros,79300,,79300,2,0
2010-06-01,June,2010,Pes os,2126800,2126800,0,3,0
2010-06-01,June,2010,Otras,800,,800,2,0
2010-06-01,June,2010,Dólares  USA,2354400,,2354400,2,0
2010-06-01,June,2010,Unidades  de  Fomento,8721300,8721300,,2,0
2010-06-01,June,2010,Unidad de  Cuenta  BID,44100,,44100,2,0
2010-06-01,June,2010,Pesos,2126800,2126800,0,3,0
2010-06-01,June,2010,Unidades  de Fomento,8721300,8721300,,2,0
2010-06-01,June,2010,Unidad de Cuenta  BID,44100,,44100,2,0
2010-06-01,June,2010,Otra s,800,,800,2,0
2010-09-01,September,2010,Dólares USA,3411800,,3411800,2,0
2010-09-01,September,2010,Unidades de Fomento,11558900,11558900,,2,0
2010-09-01,September,2010,Unidad de Cuenta BID,0,0,0,3,0
2010-09-01,September,2010,Euros,108900,,108900,2,0
2010-09-01,September,2010,Otras,900,,900,2,0
2010-09-01,September,2010,Dólares  USA,3368700,,3368700,2,0
2010-09-01,September,2010,Unidad de Cuenta  BID,43100,,43100,2,0
2010-09-01,September,2010,Otra s,900,,900,2,0
2010-12-01,December,2010,Dólares USA,3413.6,,3413.6,2,0
2010-12-01,December,2010,Unidad de Cuenta BID,0,0,0,3,0
2010-12-01,December,2010,Euros,997000,,997000,2,0
2010-12-01,December,2010,Otras,8000,,8000,2,0
2011-03-01,March,2011,Dólares USA,3384.7,,3384.7,2,0
2011-03-01,March,2011,Euros,1063000,,1063000,2,0
2011-03-01,March,2011,Otras,9000,,9000,2,0
2011-03-01,March,2011,Unidad de Cuenta BID,0,0,0,3,0
2011-06-01,June,2011,Dólares USA,3359.1,,3359.1,2,0
2011-06-01,June,2011,Euros,1030000,,1030000,2,0
2011-06-01,June,2011,Otras,9000,,9000,2,0
2011-09-01,September,2011,Dólares USA,4334.7,,4334.7,2,0
2011-09-01,September,2011,Euros,968000,,968000,2,0
2011-09-01,September,2011,Otras,8000,,8000,2,0
2011-12-01,December,2011,Dólares USA,4358.2,,4358.2,2,0
2011-12-01,December,2011,Euros,886000,,886000,2,0
2011-12-01,December,2011,Otras,8000,,8000,2,0
2012-03-01,March,2012,Dólares USA,3670.8,,3670.8,2,0
2012-03-01,March,2012,Euros,908000,,908000,2,0
2012-06-01,June,2012,Euros,813000,,813000,2,0
2012-06-01,June,2012,Otras,7000,,7000,2,0
2012-09-01,September,2012,Euros,464200,,464200,2,0
2012-09-01,September,2012,Otras,4400,,4400,2,0
2012-12-01,December,2012,Dólares USA,5138.4,,5138.4,2,0
2012-12-01,December,2012,Euros,879000,,879000,2,0
2012-12-01,December,2012,Otras,7000,,7000,2,0
2012-12-01,December,2012,BID,562900,,562900,2,0
2012-12-01,December,2012,BIRF,111900,,111900,2,0
2013-03-01,March,2013,Dólares USA,4279,,4279,2,0
2013-03-01,March,2013,Euros,848000,,848000,2,0
2013-03-01,March,2013,Otras,7000,,7000,2,0
2013-03-01,March,2013,BID,543800,,543800,2,0
2013-03-01,March,2013,BIRF,108100,,108100,2,0
2013-06-01,June,2013,Dólares USA,4266.4,,4266.4,2,0
2013-06-01,June,2013,Euros,844000,,844000,2,0
2013-06-01,June,2013,Otras,7000,,7000,2,0
2013-09-01,September,2013,Dólares USA,4238.9,,4238.9,2,0
2013-09-01,September,2013,Euros,874000,,874000,2,0
2013-09-01,September,2013,Otras,7000,,7000,2,0
2013-12-01,December,2013,Dólares USA,4243,,4243,2,0
2013-12-01,December,2013,Euros,867000,,867000,2,0
2013-12-01,December,2013,Otras,7000,,7000,2,0
2014-03-01,March,2014,Dólares USA,2107405.3,,2107405.3,2,0
2014-03-01,March,2014,Euros,475750,,475750,2,0
2014-03-01,March,2014,Otras,3850,,3850,2,0
2014-06-01,June,2014,Dólares USA,4232.9,,4232.9,2,0
2014-06-01,June,2014,Euros,822000,,822000,2,0
2014-06-01,June,2014,Otras,6000,,6000,2,0
2014-09-01,September,2014,Dólares USA,4198.7,,4198.7,2,0
2014-09-01,September,2014,Euros,763000,,763000,2,0
2014-09-01,September,2014,Otras,6000,,6000,2,0
2015-03-01,March,2015,Dólares USA,4750.2,,4750.2,2,0
2015-09-01,September,2015,Dólares USA,4708.4,,4708.4,2,0
2015-09-01,September,2015,Euros,2538.2,,2538.2,2,0
2015-09-01,September,2015,Otras,2200,,2200,2,0
2015-12-01,December,2015,Dólares USA,4703.7,,4703.7,2,0
2015-12-01,December,2015,Euros,2459.1,,2459.1,2,0
2015-12-01,December,2015,Otras,4000,,4000,2,0
2015-12-01,December,2015,UTM,0,0,0,3,0
2016-03-01,March,2016,Dólares USA,5576.8,,5576.8,2,0
2016-03-01,March,2016,UF,22956.8,22956.8,,2,0
2016-03-01,March,2016,Euros,3911.4,,3911.4,2,0
2016-03-01,March,2016,Pesos,10524.5,9881.1,643.4,3,0
2016-03-01,March,2016,Otras,4000,,4000,2,0
2016-03-01,March,2016,UTM,0,0,0,3,0
2016-06-01,June,2016,Dólares USA,5689.6,,5689.6,2,0
2016-06-01,June,2016,UF,25141.2,25141.2,,2,0
2016-06-01,June,2016,Euros,3833.1,,3833.1,2,0
2016-06-01,June,2016,Pesos,15905,15248.4,656.6,3,0
2016-06-01,June,2016,UTM,16000,16000,0,3,0
2016-09-01,September,2016,Dólares USA,5797.4,,5797.4,2,0
2016-09-01,September,2016,UF,25255.7,25255.7,,2,0
2016-09-01,September,2016,Euros,3870.8,,3870.8,2,0
2016-09-01,September,2016,Pesos,17620.6,16961.6,659,3,0
2016-09-01,September,2016,UTM,16000,16000,0,3,0
2016-12-01,December,2016,Dólares USA,5821.1,,5821.1,2,0
2016-12-01,December,2016,UF,25796.1,25796.1,,2,0
2016-12-01,December,2016,Euros,3608.5,,3608.5,2,0
2016-12-01,December,2016,Pesos,18138.1,17487.2,650.9,3,0
2016-12-01,December,2016,UTM,13000,13000,0,3,0
2017-03-01,March,2017,Pesos,19567.4,18912,655.400000000001,3,0
2017-03-01,March,2017,UTM,1000,1000,0,3,0
2017-06-01,June,2017,Pesos,22551.7,21896.8,654.900000000001,3,0
2017-06-01,June,2017,UTM,1000,1000,0,3,0
2017-09-01,September,2017,Dólares USA,7145.9,,7145.9,2,0
2017-09-01,September,2017,UF,28579.2,28579.2,,2,0
2017-09-01,September,2017,Euros,4886.3,,4886.3,2,0
2017-09-01,September,2017,Pesos,24192.1,23510.1,682,3,0
2017-09-01,September,2017,UTM,10000,10000,0,3,0
2017-12-01,December,2017,Dólares USA,7143.6,,7143.6,2,0
2017-12-01,December,2017,UF,31026,31026,,2,0
2017-12-01,December,2017,Euros,4957.6,,4957.6,2,0
2017-12-01,December,2017,Pesos,25807.6,25101.6,706,3,0
2017-12-01,December,2017,UTM,11000,11000,0,3,0
2018-03-01,March,2018,Dólares USA,8262,,8262,2,0
2018-03-01,March,2018,UF,31735.2,31735.2,,2,0
2018-03-01,March,2018,Euros,6140.1,,6140.1,2,0
2018-03-01,March,2018,Pesos,25055.1,24337.5,717.599999999999,3,0
2018-03-01,March,2018,UTM,11000,11000,0,3,0
2018-06-01,June,2018,Dólares USA,8247.1,,8247.1,2,0
2018-06-01,June,2018,UF,30814.3,30814.3,,2,0
2018-06-01,June,2018,Euros,5750.8,,5750.8,2,0
2018-06-01,June,2018,Pesos,23404.3,22734,670.299999999999,3,0
2018-06-01,June,2018,UTM,7000,7000,0,3,0
2018-09-01,September,2018,Dólares USA,8233.1,,8233.1,2,0
2018-09-01,September,2018,UF,31868.3,31868.3,,2,0
2018-09-01,September,2018,Euros,5795.8,,5795.8,2,0
2018-09-01,September,2018,Pesos,25162.3,24505.7,656.599999999999,3,0
2018-09-01,September,2018,UTM,7000,7000,0,3,0
2018-12-01,December,2018,Dólares USA,8242.5,,8242.5,2,0
2018-12-01,December,2018,UF,29476.5,29476.5,,2,0
2018-12-01,December,2018,Euros,5677.2,,5677.2,2,0
2018-12-01,December,2018,Pesos,26850.4,26226.1,624.300000000003,3,0
2018-12-01,December,2018,UTM,7000,7000,0,3,0
2019-03-01,March,2019,Dólares USA,10434.8,,10434.8,2,0
2019-03-01,March,2019,UF,31118.8,31118.8,,2,0
2019-03-01,March,2019,Euros,5575.7,0,5575.7,3,0
2019-03-01,March,2019,Pesos,28197.7,27560,637.700000000001,3,0
2019-03-01,March,2019,UTM,3000,3000,0,3,0
2019-06-01,June,2019,Dólares USA,4394089.7,,4394089.7,2,0
2019-06-01,June,2019,Euros,5637.5,0,5637.5,3,0
2019-06-01,June,2019,Pesos,30550.5,29990.9,559.599999999999,3,0
2019-06-01,June,2019,UTM,1650,1650,0,3,0
2019-09-01,September,2019,Dólares USA,8763.4,,8763.4,2,0
2019-09-01,September,2019,UF,30788.1,30788.1,,2,0
2019-09-01,September,2019,Euros,6370.1,0,6370.1,3,0
2019-09-01,September,2019,Pesos,28832.2,28307.9,524.299999999999,3,0
2019-09-01,September,2019,UTM,3000,3000,0,3,0
2019-09-01,September,2019,Dólares USA,8763.4,,8763.4,2,0
2019-12-01,December,2019,Dólares USA,8803200,,8803200,2,0
2019-12-01,December,2019,Euros,6501.3,0,6501.3,3,0
2019-12-01,December,2019,Pesos,28259.4,27748.5,510.900000000001,3,0
2019-12-01,December,2019,UTM,1650,1650,0,3,0
2019-12-01,December,2019,Dólares USA,8803.2,,8803.2,2,0
2020-03-01,March,2020,Dólares USA,5222617.4,,5222617.4,2,0
2020-03-01,March,2020,UF,27010,27010,,2,0
2020-03-01,March,2020,Euros,8055,,8055,2,0
2020-03-01,March,2020,Pesos,24521.8,24072.3,449.5,3,0
2020-03-01,March,2020,UTM,3000,3000,0,3,0
2020-03-01,March,2020,Dólares USA,10434.8,,10434.8,2,0
2020-06-01,June,2020,Dólares USA,11867.7,,11867.7,2,0
2020-06-01,June,2020,UF,27879.8,27879.8,,2,0
2020-06-01,June,2020,Euros,8763.6,,8763.6,2,0
2020-06-01,June,2020,Pesos,29560.4,29094.3,466.100000000002,3,0
2020-06-01,June,2020,Otras,1000,,1000,2,0
2020-06-01,June,2020,UTM,0,0,0,3,0
