month,year,period,full_date
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
September,september_2010,"1 September, september_2010",2010-09-01
December,december_2010,"1 December, december_2010",2010-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
September,september_2010,"1 September, september_2010",2010-09-01
December,december_2010,"1 December, december_2010",2010-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
September,september_2010,"1 September, september_2010",2010-09-01
December,december_2010,"1 December, december_2010",2010-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
September,september_2010,"1 September, september_2010",2010-09-01
December,december_2010,"1 December, december_2010",2010-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
September,september_2010,"1 September, september_2010",2010-09-01
December,december_2010,"1 December, december_2010",2010-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
September,september_2010,"1 September, september_2010",2010-09-01
December,december_2010,"1 December, december_2010",2010-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
September,september_2010,"1 September, september_2010",2010-09-01
December,december_2010,"1 December, december_2010",2010-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
September,september_2010,"1 September, september_2010",2010-09-01
December,december_2010,"1 December, december_2010",2010-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
September,september_2010,"1 September, september_2010",2010-09-01
December,december_2010,"1 December, december_2010",2010-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
September,september_2010,"1 September, september_2010",2010-09-01
December,december_2010,"1 December, december_2010",2010-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
September,september_2010,"1 September, september_2010",2010-09-01
December,december_2010,"1 December, december_2010",2010-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
September,september_2010,"1 September, september_2010",2010-09-01
December,december_2010,"1 December, december_2010",2010-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
September,sept_2011,"1 September, sept_2011",2011-09-01
December,dec_2011,"1 December, dec_2011",2011-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
September,sept_2011,"1 September, sept_2011",2011-09-01
December,dec_2011,"1 December, dec_2011",2011-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
September,sept_2011,"1 September, sept_2011",2011-09-01
December,dec_2011,"1 December, dec_2011",2011-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
September,sept_2011,"1 September, sept_2011",2011-09-01
December,dec_2011,"1 December, dec_2011",2011-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
September,sept_2011,"1 September, sept_2011",2011-09-01
December,dec_2011,"1 December, dec_2011",2011-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
September,sept_2011,"1 September, sept_2011",2011-09-01
December,dec_2011,"1 December, dec_2011",2011-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
September,sept_2011,"1 September, sept_2011",2011-09-01
December,dec_2011,"1 December, dec_2011",2011-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
September,sept_2011,"1 September, sept_2011",2011-09-01
December,dec_2011,"1 December, dec_2011",2011-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
September,sept_2011,"1 September, sept_2011",2011-09-01
December,dec_2011,"1 December, dec_2011",2011-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
September,sept_2011,"1 September, sept_2011",2011-09-01
December,dec_2011,"1 December, dec_2011",2011-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
September,sept_2011,"1 September, sept_2011",2011-09-01
December,dec_2011,"1 December, dec_2011",2011-12-01
March,march_2012,"1 March, march_2012",2012-03-01
June,june_2012,"1 June, june_2012",2012-06-01
September,sept_2012,"1 September, sept_2012",2012-09-01
December,dec_2012,"1 December, dec_2012",2012-12-01
March,march_2012,"1 March, march_2012",2012-03-01
June,june_2012,"1 June, june_2012",2012-06-01
September,sept_2012,"1 September, sept_2012",2012-09-01
December,dec_2012,"1 December, dec_2012",2012-12-01
March,march_2012,"1 March, march_2012",2012-03-01
June,june_2012,"1 June, june_2012",2012-06-01
September,sept_2012,"1 September, sept_2012",2012-09-01
December,dec_2012,"1 December, dec_2012",2012-12-01
March,march_2012,"1 March, march_2012",2012-03-01
June,june_2012,"1 June, june_2012",2012-06-01
September,sept_2012,"1 September, sept_2012",2012-09-01
December,dec_2012,"1 December, dec_2012",2012-12-01
March,march_2012,"1 March, march_2012",2012-03-01
June,june_2012,"1 June, june_2012",2012-06-01
September,sept_2012,"1 September, sept_2012",2012-09-01
December,dec_2012,"1 December, dec_2012",2012-12-01
March,march_2012,"1 March, march_2012",2012-03-01
June,june_2012,"1 June, june_2012",2012-06-01
September,sept_2012,"1 September, sept_2012",2012-09-01
December,dec_2012,"1 December, dec_2012",2012-12-01
March,march_2012,"1 March, march_2012",2012-03-01
June,june_2012,"1 June, june_2012",2012-06-01
September,sept_2012,"1 September, sept_2012",2012-09-01
December,dec_2012,"1 December, dec_2012",2012-12-01
March,march_2012,"1 March, march_2012",2012-03-01
June,june_2012,"1 June, june_2012",2012-06-01
September,sept_2012,"1 September, sept_2012",2012-09-01
December,dec_2012,"1 December, dec_2012",2012-12-01
March,march_2012,"1 March, march_2012",2012-03-01
June,june_2012,"1 June, june_2012",2012-06-01
September,sept_2012,"1 September, sept_2012",2012-09-01
December,dec_2012,"1 December, dec_2012",2012-12-01
March,march_2012,"1 March, march_2012",2012-03-01
June,june_2012,"1 June, june_2012",2012-06-01
September,sept_2012,"1 September, sept_2012",2012-09-01
December,dec_2012,"1 December, dec_2012",2012-12-01
March,march_2012,"1 March, march_2012",2012-03-01
June,june_2012,"1 June, june_2012",2012-06-01
September,sept_2012,"1 September, sept_2012",2012-09-01
December,dec_2012,"1 December, dec_2012",2012-12-01
March,march_2013,"1 March, march_2013",2013-03-01
June,june_2013,"1 June, june_2013",2013-06-01
September,sept_2013,"1 September, sept_2013",2013-09-01
December,dec_2013,"1 December, dec_2013",2013-12-01
