source,lender_type
Banco Nacional De Comercio Exterior,c
Bank of New York,c
Bear Stearns & Company,c
Caribbean Community Climate Change Center,b
Caribbean Development Bank,m
Caricom Development Fund,m
Central American Bank For Economic Integration,m
European Economic Community,m
European Investment Bank,m
Government of the United States,m
Government Of Trinidad And Tobago,m
Government of Venezuela,m
Heritage International Bank & Trust,c
Inter-American Development Bank,m
International Bank for Reconstruction and Development,m
International Fund for Agricultural Development,m
Kuwait Fund for Arab Economic Development,b
Manufacturers & Traders Trust Co.,c
Mega International Commercial Bank Company Limited,b
Opec Fund for International Development,m
Republic Of China,b
Republic Of China/Taiwan,b
US$30mn Fixed Rate Notes,c
